Desi/KG,Aras,DHL eCommerce,Kolay Gelsin,PTT,Sürat,TEX,Yurtiçi,Borusan,CEVA,Horoz
214,1862.21,5006.15,3947.76,,2223.82,,2253.17,2813.80,2560.14,2409.86
215,1870.77,5031.14,3967.76,,2234.36,,2263.47,2826.95,2572.13,2421.13
216,1879.34,5056.13,3987.76,,2244.90,,2273.77,2840.10,2584.12,2432.38
217,1887.91,5081.12,4007.76,,2255.45,,2284.06,2853.25,2596.11,2443.65
218,1896.47,5106.11,4027.76,,2265.99,,2294.36,2866.40,2608.10,2454.90
219,1905.04,5131.10,4047.76,,2276.53,,2304.66,2879.55,2620.09,2466.17
220,1913.61,5156.09,4067.76,,2287.07,,2314.95,2892.69,2632.07,2477.43
221,1922.17,5181.08,4087.76,,2297.61,,2325.25,2905.85,2644.06,2488.69
222,1930.74,5206.07,4107.76,,2308.16,,2335.55,2918.99,2656.05,2499.95
223,1939.31,5231.06,4127.76,,2318.70,,2345.84,2932.14,2668.04,2511.21
224,1947.87,5256.05,4147.75,,2329.24,,2356.14,2945.29,2680.03,2522.47
225,1956.44,5281.04,4167.75,,2339.78,,2366.43,2958.44,2692.02,2533.74
226,1965.01,5306.03,4187.75,,2350.32,,2376.73,2971.58,2704.01,2544.99
227,1973.57,5331.02,4207.75,,2360.87,,2387.03,2984.74,2716.00,2556.26
228,1982.14,5356.01,4227.75,,2371.41,,2397.32,2997.88,2727.99,2567.51
229,1990.71,5381.00,4247.75,,2381.95,,2407.62,3011.03,2739.98,2578.78
230,1999.27,5405.99,4267.75,,2392.49,,2417.92,3024.19,2751.97,2590.04
231,2007.84,5430.98,4287.75,,2403.03,,2428.21,3037.33,2763.96,2601.30
232,2016.41,5455.97,4307.75,,2413.58,,2438.51,3050.48,2775.95,2612.56
233,2024.97,5480.96,4327.75,,2424.12,,2448.81,3063.63,2787.94,2623.82
234,2033.54,5505.95,4347.75,,2434.66,,2459.10,3076.78,2799.93,2635.08
235,2042.11,5530.94,4367.75,,2445.20,,2469.40,3089.92,2811.92,2646.35
236,2050.67,5555.93,4387.74,,2455.74,,2479.69,3103.08,2823.91,2657.60
237,2059.24,5580.92,4407.74,,2466.29,,2489.99,3116.22,2835.90,2668.87
238,2067.81,5605.91,4427.74,,2476.83,,2500.29,3129.37,2847.89,2680.12
239,2076.37,5630.90,4447.74,,2487.37,,2510.58,3142.51,2859.88,2691.39
240,2084.94,5655.89,4467.74,,2497.91,,2520.88,3155.67,2871.87,2702.65
241,2093.51,5680.88,4487.74,,2508.46,,2531.18,3168.82,2883.86,2713.91
242,2102.07,5705.87,4507.74,,2519.00,,2541.47,3181.96,2895.85,2725.17
243,2110.64,5730.86,4527.74,,2529.54,,2551.77,3195.12,2907.84,2736.43
244,2119.21,5755.85,4547.74,,2540.08,,2562.07,3208.26,2919.83,2747.69
245,2127.77,5780.84,4567.74,,2550.62,,2572.36,3221.41,2931.82,2758.96
246,2136.34,5805.83,4587.74,,2561.17,,2582.66,3234.56,2943.81,2770.21
247,2144.91,5830.82,4607.74,,2571.71,,2592.96,3247.71,2955.80,2781.48
248,2153.47,5855.81,4627.73,,2582.25,,2603.25,3260.85,2967.79,2792.73
249,2162.04,5880.80,4647.73,,2592.79,,2613.55,3274.01,2979.77,2804.00
250,2170.61,5905.79,4667.73,,2603.33,,2623.84,3287.15,2991.76,2815.26
251,2179.17,5930.78,4687.73,,2613.88,,2634.14,3300.30,3003.75,2826.52
252,2187.74,5955.77,4707.73,,2624.42,,2644.44,3313.45,3015.74,2837.78
253,2196.31,5980.76,4727.73,,2634.96,,2654.73,3326.60,3027.73,2849.04
254,2204.87,6005.75,4747.73,,2645.50,,2665.03,3339.75,3039.72,2860.30
255,2213.44,6030.74,4767.73,,2656.04,,2675.33,3352.90,3051.71,2871.57
256,2222.01,6055.73,4787.73,,2666.59,,2685.62,3366.05,3063.70,2882.82
257,2230.57,6080.72,4807.73,,2677.13,,2695.92,3379.19,3075.69,2894.09
258,2239.14,6105.71,4827.73,,2687.67,,2706.22,3392.35,3087.68,2905.34
259,2247.71,6130.70,4847.73,,2698.21,,2716.51,3405.49,3099.67,2916.61
260,2256.28,6155.69,4867.73,,2708.75,,2726.81,3418.64,3111.66,2927.87
261,2264.84,6180.68,4887.72,,2719.30,,2737.11,3431.79,3123.65,2939.13
262,2273.41,6205.67,4907.72,,2729.84,,2747.40,3444.94,3135.64,2950.39
263,2281.98,6230.66,4927.72,,2740.38,,2757.70,3458.08,3147.63,2961.65
264,2290.54,6255.65,4947.72,,2750.92,,2767.99,3471.23,3159.62,2972.91
265,2299.11,6280.64,4967.72,,2761.46,,2778.29,3484.39,3171.61,2984.18
266,2307.68,6305.63,4987.72,,2772.01,,2788.59,3497.53,3183.60,2995.43
267,2316.24,6330.62,5007.72,,2782.55,,2798.88,3510.68,3195.59,3006.70
268,2324.81,6355.61,5027.72,,2793.09,,2809.18,3523.83,3207.58,3017.95
269,2333.38,6380.60,5047.72,,2803.63,,2819.48,3536.98,3219.57,3029.22
270,2341.94,6405.59,5067.72,,2814.17,,2829.77,3550.12,3231.56,3040.48
